"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"c3.f3","c3.f3",0.891171912797658,67.91,31,"pink","Fall",".C10","1","null","H1.sim.null"
"e3.e3","e3.e3",0.924942244429987,67.02,30,"green","Fall",".C10","1","null","H1.sim.null"
"c3.c3","c3.c3",0.928678059715502,66.09,29,"pink","Fall",".C10","1","null","H1.sim.null"
"f1.g3","f1.g3",0.945189769806831,65.17,28,"green","Fall",".C10","1","null","H1.sim.null"
"d2.c3","d2.c3",0.95249702329634,64.22,27,"red","Fall",".C10","1","null","H1.sim.null"
"c3.d2","c3.d2",1.00487952714389,63.27,26,"pink","Fall",".C10","1","null","H1.sim.null"
"d1.d1","d1.d1",1.01981656181194,62.26,25,"red","Fall",".C10","1","null","H1.sim.null"
"b1.b1","b1.b1",1.02187246464407,61.24,24,"pink","Fall",".C10","1","null","H1.sim.null"
"f1.f1","f1.f1",1.09206582601266,60.22,23,"green","Fall",".C10","1","null","H1.sim.null"
"f2.g3","f2.g3",1.19961050990989,59.13,22,"green","Fall",".C10","1","null","H1.sim.null"
"f2.f2","f2.f2",1.2125962876964,57.93,21,"green","Fall",".C10","1","null","H1.sim.null"
"b2.b1","b2.b1",1.29478313132948,56.72,20,"pink","Fall",".C10","1","null","H1.sim.null"
"e1.e1","e1.e1",1.32954101621087,55.42,19,"green","Fall",".C10","1","null","H1.sim.null"
"g3.g3","g3.g3",1.35725287686432,54.09,18,"green","Fall",".C10","1","null","H1.sim.null"
"d3.d3","d3.d3",1.50300195273983,52.73,17,"red","Fall",".C10","1","null","H1.sim.null"
"d3.b1","d3.b1",1.5151000244151,51.23,16,"red","Fall",".C10","1","null","H1.sim.null"
"b2.c1","b2.c1",1.5196100416073,49.72,15,"pink","Fall",".C10","1","null","H1.sim.null"
"b2.c3","b2.c3",1.92315931826385,48.2,14,"pink","Fall",".C10","1","null","H1.sim.null"
"a1.b2","a1.b2",2.05469068358625,46.27,13,"black","Fall",".C10","1","null","H1.sim.null"
"d3.c1","d3.c1",2.43266635398311,44.22,12,"red","Fall",".C10","1","null","H1.sim.null"
"b1.c3","b1.c3",2.81657663047259,41.79,11,"pink","Fall",".C10","1","null","H1.sim.null"
"a1.b1","a1.b1",3.01914512638008,38.97,10,"black","Fall",".C10","1","null","H1.sim.null"
"b2.e2","b2.e2",3.20351413442702,35.95,9,"green","Fall",".C10","1","null","H1.sim.null"
"d3.f3","d3.f3",3.32474318148653,32.75,8,"red","Fall",".C10","1","null","H1.sim.null"
"d3.c3","d3.c3",3.54293206079682,29.42,7,"red","Fall",".C10","1","null","H1.sim.null"
"e2.f2","e2.f2",3.54998519665372,25.88,6,"green","Fall",".C10","1","null","H1.sim.null"
"a1.a1","a1.a1",3.8742093489737,22.33,5,"black","Fall",".C10","1","null","H1.sim.null"
"d3.f2","d3.f2",3.9266331334652,18.46,4,"red","Fall",".C10","1","null","H1.sim.null"
"f3.g3","f3.g3",4.54195525905132,14.53,3,"green","Fall",".C10","1","null","H1.sim.null"
"f3.f3","f3.f3",4.66618983238663,9.99,2,"green","Fall",".C10","1","null","H1.sim.null"
"e2.e2","e2.e2",5.32080989504419,5.32,1,"green","Fall",".C10","1","null","H1.sim.null"
"NCCfall.g31","NCCfall.g3",0.400366815746304,100,80,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCspr.NCCspr1","NCCspr.NCCspr",0.402145707161263,99.6,79,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d4.d41","d4.d4",0.414896870302645,99.2,78,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.g11","d2.g1",0.416369327256002,98.78,77,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.f31","d2.f3",0.419195073849908,98.37,76,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCfall.NCCfall1","NCCfall.NCCfall",0.433084097569354,97.95,75,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.c21","b3.c2",0.441691745824953,97.51,74,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a3.b31","a3.b3",0.444765631658192,97.07,73,"black","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.b21","c1.b2",0.444890237969747,96.63,72,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"f1.g11","f1.g1",0.463272397311844,96.18,71,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d4.g11","d4.g1",0.47190178858351,95.72,70,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"NCCspr.g11","NCCspr.g1",0.472535347687868,95.25,69,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"g1.g11","g1.g1",0.479130454727345,94.77,68,"green","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.d31","c1.d3",0.484320910545212,94.3,67,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.c11","d2.c1",0.484880260562011,93.81,66,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.f11","c1.f1",0.499236169023755,93.33,65,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b3.b31","b3.b3",0.500857328797337,92.83,64,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.c31","d2.c3",0.51526901382261,92.33,63,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.f21","d2.f2",0.52230850119123,91.81,62,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.b21","c3.b2",0.530119998619914,91.29,61,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d4.g31","d4.g3",0.538487869236828,90.76,60,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"a3.a31","a3.a3",0.538644978544189,90.22,59,"black","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c2.b31","c2.b3",0.539609762588417,89.68,58,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.f11","d2.f1",0.550259317681714,89.14,57,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.d21","c3.d2",0.569054468308694,88.59,56,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.b11","b2.b1",0.572305352132412,88.02,55,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.f31","c3.f3",0.572786041678963,87.45,54,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.d21","c1.d2",0.572903025769714,86.88,53,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d3.b11","d3.b1",0.57569683917084,86.3,52,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"d2.g31","d2.g3",0.583750078459101,85.73,51,"red","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c2.b21","c2.b2",0.585771565508954,85.15,50,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b1.b11","b1.b1",0.59369640253573,84.56,49,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"b2.b31","b2.b3",0.605924904386493,83.97,48,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c3.b31","c3.b3",0.622144833178124,83.36,47,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
"c1.f21","c1.f2",0.62933415576767,82.74,46,"pink","Fall",".C10","1","g1.d2d4","H1.sim.g1.d2d4"
