"","link","influence","cumsum","rank","color","run","MG","H","model","simname"
"d2.c1","d2.c1",0.373725613315361,100,84,"red","Spring","C10","1","null","H1.sim.null"
"c3.c3","c3.c3",0.402845408254478,99.63,83,"pink","Spring","C10","1","null","H1.sim.null"
"b1.b1","b1.b1",0.40340071433851,99.22,82,"pink","Spring","C10","1","null","H1.sim.null"
"c1.d2","c1.d2",0.425556855444854,98.82,81,"pink","Spring","C10","1","null","H1.sim.null"
"b3.e3","b3.e3",0.426488298677036,98.39,80,"green","Spring","C10","1","null","H1.sim.null"
"NCCspr.NCCspr","NCCspr.NCCspr",0.431252947034616,97.97,79,"pink","Spring","C10","1","null","H1.sim.null"
"a3.b3","a3.b3",0.445837088956722,97.54,78,"black","Spring","C10","1","null","H1.sim.null"
"d2.f2","d2.f2",0.449455428643324,97.09,77,"red","Spring","C10","1","null","H1.sim.null"
"c1.b2","c1.b2",0.455611205655019,96.64,76,"pink","Spring","C10","1","null","H1.sim.null"
"c1.f2","c1.f2",0.461104337255953,96.19,75,"pink","Spring","C10","1","null","H1.sim.null"
"c1.f1","c1.f1",0.463240526126708,95.72,74,"pink","Spring","C10","1","null","H1.sim.null"
"c3.b3","c3.b3",0.474581242744291,95.26,73,"pink","Spring","C10","1","null","H1.sim.null"
"b2.c3","b2.c3",0.503025272413608,94.79,72,"pink","Spring","C10","1","null","H1.sim.null"
"d2.f3","d2.f3",0.522706746986034,94.28,71,"red","Spring","C10","1","null","H1.sim.null"
"g1.d2","g1.d2",0.529366650408237,93.76,70,"red","Spring","C10","1","null","H1.sim.null"
"a3.a3","a3.a3",0.531873483602257,93.23,69,"black","Spring","C10","1","null","H1.sim.null"
"c1.b3","c1.b3",0.548391618868319,92.7,68,"pink","Spring","C10","1","null","H1.sim.null"
"NCCfall.g3","NCCfall.g3",0.555801380201861,92.15,67,"pink","Spring","C10","1","null","H1.sim.null"
"d2.c3","d2.c3",0.561816445463752,91.6,66,"red","Spring","C10","1","null","H1.sim.null"
"d1.f1","d1.f1",0.563629874503727,91.03,65,"red","Spring","C10","1","null","H1.sim.null"
"NCCspr.g1","NCCspr.g1",0.567185123321189,90.47,64,"pink","Spring","C10","1","null","H1.sim.null"
"b2.b3","b2.b3",0.571649429925846,89.9,63,"pink","Spring","C10","1","null","H1.sim.null"
"c1.d1","c1.d1",0.5728040100752,89.33,62,"pink","Spring","C10","1","null","H1.sim.null"
"d2.g3","d2.g3",0.573620695011707,88.76,61,"red","Spring","C10","1","null","H1.sim.null"
"d3.b1","d3.b1",0.574576467246242,88.19,60,"red","Spring","C10","1","null","H1.sim.null"
"b3.b3","b3.b3",0.575101832776473,87.61,59,"pink","Spring","C10","1","null","H1.sim.null"
"b3.c2","b3.c2",0.603875733931384,87.04,58,"pink","Spring","C10","1","null","H1.sim.null"
